"","x"
"1553193_at",0.000159379389564538
"1553194_at",0
"1553196_a_at",0
"1553197_at",0
"1553199_at",0.00028620046131246
"1553202_at",0
"1553204_at",0.0500355698179394
"1553205_at",0.15182007204543
"1553207_at",0.000138733144115148
"1553208_s_at",0.00302505187283352
"1553209_at",6.41666731158851e-05
"1553211_at",0
"1553212_at",0.173002047514556
"1553213_a_at",0
"1553214_a_at",0.00185442366098307
"1553215_s_at",0.000105584037981825
"1553216_at",7.65201303642442e-05
"1553217_s_at",0.00159179751546053
"1553218_a_at",0.19084237106304
"1553219_a_at",4.64240896870613e-05
"1553220_at",0.0602597583253837
"1553221_at",0
"1553222_at",0.128114961357557
"1553224_at",0.000742230074248967
"1553225_s_at",0.0450933267203418
"1553226_at",0
"1553227_s_at",0.00539820330939677
"1553228_at",0
"1553229_at",9.54059604626002e-05
"1553232_at",0.00279761420669337
"1553234_at",0.00129915719620712
"1553235_at",0.000152349610843373
"1553237_x_at",0
"1553238_a_at",0.012042233455609
"1553239_at",0.027910631922641
"1553241_at",0.00677517171235477
"1553243_at",0.000324347289050714
"1553244_at",0.000240563092948866
"1553246_a_at",0
"1553247_a_at",0
"1553248_at",0.0465598161970044
"1553249_at",0
"1553252_a_at",0.286046062333259
"1553253_at",0.0010575935893577
"1553254_at",0.00179652141601273
"1553255_at",0
"1553257_at",0
"1553258_at",0
"1553260_s_at",0.000108551975909973
"1553261_x_at",0
"1553262_a_at",0
"1553263_at",0.00235397065345969
"1553264_a_at",0.0126778144634507
"1553265_at",0.00979465252184093
"1553266_at",0
"1553267_a_at",0.0139701031681418
"1553268_at",0
"1553269_at",0.00223416781884321
"1553271_at",0.10172969167831
"1553272_at",0
"1553274_a_at",0.0394630514730788
"1553275_s_at",0
"1553276_at",6.87552079995246e-05
"1553277_at",0
"1553279_at",0.0013384362464957
"1553280_at",0.000207706726241717
"1553281_at",0
"1553282_at",0
"1553284_s_at",0.0103598368013915
"1553285_s_at",0.000324705171133563
"1553286_at",0.0253773101565209
"1553288_a_at",0.0589032581009942
"1553292_s_at",0.00946499384202889
"1553293_at",0
"1553295_at",0
"1553296_at",0
"1553297_a_at",0.619795409876755
"1553298_at",0
"1553299_at",0
"1553300_a_at",0.0023227911117491
"1553301_a_at",0
"1553303_at",0
"1553304_at",0.0736023891695339
"1553306_at",0
"1553310_at",0.000607004734823651
"1553311_at",0.0145994703690372
"1553313_s_at",0.00194720663276069
"1553314_a_at",0
"1553315_at",0.0001034310685241
"1553316_at",0
"1553317_s_at",0.00338932152135124
"1553318_at",0
"1553319_at",0
"1553320_s_at",0
"1553321_a_at",0
"1553322_s_at",0
"1553323_a_at",0
"1553325_at",0
"1553326_at",0
"1553327_a_at",0
"1553328_a_at",0.000601475731081637
"1553329_at",2.78836636926604e-05
"1553330_at",0
"1553333_at",0
"1553335_x_at",0.000817932367703144
"1553336_a_at",0
"1553338_at",0.00996470532522647
"1553340_s_at",0
"1553341_at",0
"1553344_at",0
"1553346_a_at",0
"1553347_s_at",0
"1553348_a_at",0.0670437798597405
"1553349_at",0.226032389440191
"1553350_at",0
"1553351_at",0
"1553352_x_at",0.0269759414350048
"1553354_a_at",0
"1553355_at",2.65115411170074e-05
"1553356_at",0
"1553357_at",0
"1553359_at",0
"1553361_x_at",0
"1553362_at",0
"1553363_at",0.00103028655886314
"1553364_at",0.00760659951951333
"1553365_at",0
"1553366_s_at",0.0135792434097181
"1553367_a_at",0
"1553369_at",0.0362025140553807
"1553371_at",0
"1553372_at",0.000229743576801334
"1553373_at",0
"1553374_at",0
"1553375_at",0.00350401343232544
"1553376_a_at",0
"1553378_a_at",0
"1553380_at",0.00321198291245953
"1553383_at",0.000362954346419598
"1553385_at",0
"1553386_at",0.0333679535695243
"1553387_at",0.0968825607245138
"1553388_at",0
"1553389_at",0.0390574391220616
"1553390_at",0
"1553391_at",0
"1553392_at",0
"1553394_a_at",0
"1553395_a_at",0.107340690438565
"1553396_a_at",0.00232924639292656
"1553397_at",0.108692429726475
"1553398_at",0.00589111030890312
"1553399_a_at",0.0866636868863734
"1553400_a_at",0.0119358309618045
"1553401_at",1.12181170708223e-05
"1553402_a_at",0
"1553403_at",0
"1553405_a_at",0.00684101129787747
"1553407_at",0.0563433199054405
"1553409_at",0
"1553410_a_at",0
"1553411_s_at",0
"1553412_at",0
"1553413_at",0
"1553415_at",0
"1553417_at",0
"1553418_a_at",0
"1553420_at",2.98861853714069e-05
"1553422_s_at",0
"1553423_a_at",0.000153784800681728
"1553424_at",0.000416449756035968
"1553425_at",0
"1553426_at",0
"1553427_at",0
"1553428_at",0
"1553429_at",0.00578311056365327
"1553430_a_at",0
"1553432_s_at",0
"1553433_at",0
"1553434_at",0
"1553435_at",0
"1553436_at",0
"1553437_at",0
"1553438_at",0.0687881448262875
"1553439_at",0
"1553440_at",0
"1553441_at",0
"1553442_a_at",0
"1553443_at",0
"1553444_a_at",0
"1553446_at",0
"1553447_at",0.00903481078882197
"1553448_at",0
"1553449_at",0.0039975258262778
"1553450_s_at",0.0314253914814434
"1553451_at",0
"1553452_at",0
"1553453_at",0
"1553454_at",0
"1553456_at",0
"1553457_at",0.000357561628302794
"1553458_at",0.000531390454085709
"1553459_at",0
"1553460_at",0
"1553461_at",0
"1553462_at",0.00190559338509156
"1553464_at",0
"1553465_a_at",0
"1553466_at",0
"1553467_at",0.000651644322891573
"1553468_at",0
"1553470_at",0.00241343121465178
"1553471_at",0
"1553472_at",0.0042388990416239
"1553474_at",0
"1553475_at",0.000266647504210082
"1553478_at",0
"1553479_at",0.00382409088846636
"1553482_at",0
"1553483_at",0
"1553484_at",0
"1553485_at",0.010946101296724
"1553486_a_at",0
"1553488_at",0
"1553489_a_at",0
"1553491_at",0.00556087508106708
"1553492_a_at",0.00380448648054979
"1553493_a_at",0.0136527411812173
"1553494_at",0
"1553497_at",0
"1553498_at",0.0263185947492592
"1553499_s_at",0
"1553500_at",0
"1553502_a_at",0.00158766711685905
"1553504_at",0.000655003230042474
"1553505_at",0
"1553506_at",0
"1553507_a_at",0
"1553508_at",0.000518273693294429
"1553510_s_at",0.0442766500201134
"1553511_at",0
"1553512_at",0
"1553513_at",0.0456417798436386
"1553514_a_at",0.191558594879093
"1553515_at",0.00210928726161191
"1553517_at",0
"1553518_at",0
"1553519_at",0.000508858747319755
"1553521_at",0.0028377495207066
"1553523_at",0
"1553524_at",0
"1553525_at",0
"1553526_at",0.0127449419427125
"1553527_at",0
"1553528_a_at",0.0500046450527257
"1553529_at",0
"1553530_a_at",0.281462898019669
"1553531_at",0
"1553532_a_at",0.0185643592861596
"1553533_at",0.00228215279270552
"1553534_at",0
"1553535_a_at",0.0801279551643288
"1553536_at",0
"1553537_at",0.000554529395179601
"1553538_s_at",0.829678000596168
"1553539_at",0.0151026856642871
"1553540_a_at",0.000560699648099681
"1553541_at",0.0238755556428265
"1553542_at",0.139059666199876
"1553544_at",0
"1553545_at",0
"1553546_at",0
"1553547_at",0
"1553549_at",0
"1553550_at",0
"1553551_s_at",0.682174233209756
"1553552_at",0.00265997740839033
"1553553_at",0
"1553555_at",0
"1553556_at",0
"1553558_at",0
"1553559_at",0
"1553560_at",0
"1553561_at",0
"1553562_at",0.0387166889319694
"1553564_at",0
"1553565_s_at",0
"1553566_at",0
"1553567_s_at",0.755146346953445
"1553568_a_at",0.0436052224854724
"1553569_at",0.820160975821232
"1553570_x_at",0.823592230780134
"1553572_a_at",0
"1553573_s_at",0.000522829931155336
"1553574_at",0
"1553575_at",0.348271968061953
"1553579_a_at",0
"1553581_s_at",0.0992933451407563
"1553582_a_at",0.0278577035169027
"1553583_a_at",0.00212977731084196
"1553584_at",0
"1553585_a_at",0.000571066170679418
"1553586_at",0
"1553587_a_at",0.0188792703962968
"1553588_at",0.845652643757667
"1553589_a_at",0.482551104149881
"1553590_at",0
"1553591_at",0.0106896700474473
"1553592_x_at",0
"1553593_a_at",0
"1553594_a_at",0.02485046103226
"1553599_a_at",0.000186336337721866
"1553600_at",0.00065394571235029
"1553601_a_at",0.00497787338018778
"1553602_at",0.0276945415198296
"1553603_s_at",0.00409636104727794
"1553604_at",0
"1553605_a_at",0
"1553607_at",8.60600825959329e-05
"1553608_a_at",0.00445707064081044
"1553611_s_at",0
"1553612_at",0.00135639859394143
"1553613_s_at",0
"1553614_a_at",0
"1553618_at",0.00571972411250994
"1553619_a_at",0
"1553620_at",0
"1553622_a_at",0
"1553623_at",0
"1553625_at",0
"1553626_a_at",0.00036657640193008
"1553627_s_at",0.000457079852697404
"1553629_a_at",0
"1553630_at",0
"1553633_s_at",0.0055868013040026
"1553634_a_at",0
